noise_param,AD_log_neg_bits,dephase_log_neg_bits,depol_log_neg_bits
0.4380,0.6433944535,0.1686420356,0.4254593048
0.4390,0.6424705373,0.1660726759,0.4238470546
0.4400,0.6415460291,0.1634987323,0.4222330007
0.4410,0.6406209280,0.1609201882,0.4206171390
0.4420,0.6396952334,0.1583370272,0.4189994654
0.4430,0.6387689444,0.1557492327,0.4173799760
0.4440,0.6378420603,0.1531567881,0.4157586665
0.4450,0.6369145804,0.1505596766,0.4141355330
0.4460,0.6359865037,0.1479578814,0.4125105712
0.4470,0.6350578297,0.1453513856,0.4108837772
0.4480,0.6341285575,0.1427401721,0.4092551467
0.4490,0.6331986864,0.1401242239,0.4076246756
0.4500,0.6322682155,0.1375035237,0.4059923597
0.4510,0.6313371441,0.1348780543,0.4043581948
0.4520,0.6304054715,0.1322477983,0.4027221768
0.4530,0.6294731968,0.1296127381,0.4010843015
0.4540,0.6285403193,0.1269728563,0.3994445646
0.4550,0.6276068381,0.1243281350,0.3978029619
0.4560,0.6266727526,0.1216785566,0.3961594891
0.4570,0.6257380619,0.1190241031,0.3945141420
0.4580,0.6248027653,0.1163647567,0.3928669162
0.4590,0.6238668619,0.1137004992,0.3912178076
0.4600,0.6229303509,0.1110313124,0.3895668118
0.4610,0.6219932317,0.1083571781,0.3879139244
0.4620,0.6210555033,0.1056780779,0.3862591411
0.4630,0.6201171650,0.1029939933,0.3846024577
0.4640,0.6191782161,0.1003049058,0.3829438696
0.4650,0.6182386556,0.0976107966,0.3812833725
0.4660,0.6172984828,0.0949116470,0.3796209621
0.4670,0.6163576970,0.0922074381,0.3779566338
0.4680,0.6154162973,0.0894981508,0.3762903833
0.4690,0.6144742828,0.0867837661,0.3746222062
0.4700,0.6135316529,0.0840642648,0.3729520979
0.4710,0.6125884067,0.0813396275,0.3712800540
0.4720,0.6116445434,0.0786098347,0.3696060700
0.4730,0.6107000621,0.0758748670,0.3679301414
0.4740,0.6097549622,0.0731347046,0.3662522637
0.4750,0.6088092427,0.0703893279,0.3645724323
0.4760,0.6078629028,0.0676387169,0.3628906427
0.4770,0.6069159418,0.0648828516,0.3612068902
0.4780,0.6059683588,0.0621217119,0.3595211704
0.4790,0.6050201531,0.0593552776,0.3578334786
0.4800,0.6040713237,0.0565835284,0.3561438102
0.4810,0.6031218698,0.0538064437,0.3544521606
0.4820,0.6021717908,0.0510240030,0.3527585250
0.4830,0.6012210856,0.0482361857,0.3510628989
0.4840,0.6002697535,0.0454429708,0.3493652776
0.4850,0.5993177937,0.0426443374,0.3476656563
0.4860,0.5983652053,0.0398402645,0.3459640303
0.4870,0.5974119876,0.0370307309,0.3442603950
0.4880,0.5964581396,0.0342157153,0.3425547455
0.4890,0.5955036605,0.0313951963,0.3408470771
0.4900,0.5945485496,0.0285691522,0.3391373849
0.4910,0.5935928059,0.0257375614,0.3374256643
0.4920,0.5926364286,0.0229004021,0.3357119103
0.4930,0.5916794169,0.0200576523,0.3339961182
0.4940,0.5907217700,0.0172092900,0.3322782831
0.4950,0.5897634870,0.0143552930,0.3305584000
0.4960,0.5888045670,0.0114956388,0.3288364642
0.4970,0.5878450093,0.0086303051,0.3271124707
0.4980,0.5868848129,0.0057592693,0.3253864147
0.4990,0.5859239770,0.0028825085,0.3236582910
0.5000,0.5849625007,0.0000000000,0.3219280949
0.5010,0.5840003833,0.0028825085,0.3201958213
0.5020,0.5830376238,0.0057592693,0.3184614652
0.5030,0.5820742214,0.0086303051,0.3167250216
0.5040,0.5811101752,0.0114956388,0.3149864855
0.5050,0.5801454844,0.0143552930,0.3132458518
0.5060,0.5791801481,0.0172092900,0.3115031155
0.5070,0.5782141655,0.0200576523,0.3097582714
0.5080,0.5772475356,0.0229004021,0.3080113146
0.5090,0.5762802576,0.0257375614,0.3062622397
0.5100,0.5753123307,0.0285691522,0.3045110418
0.5110,0.5743437539,0.0313951963,0.3027577156
0.5120,0.5733745264,0.0342157153,0.3010022560
0.5130,0.5724046474,0.0370307309,0.2992446578
0.5140,0.5714341159,0.0398402645,0.2974849157
0.5150,0.5704629310,0.0426443374,0.2957230245
0.5160,0.5694910920,0.0454429708,0.2939589790
0.5170,0.5685185978,0.0482361857,0.2921927739
0.5180,0.5675454476,0.0510240030,0.2904244039
0.5190,0.5665716406,0.0538064437,0.2886538636
0.5200,0.5655971759,0.0565835284,0.2868811478
0.5210,0.5646220524,0.0593552776,0.2851062511
0.5220,0.5636462695,0.0621217119,0.2833291681
0.5230,0.5626698261,0.0648828516,0.2815498934
0.5240,0.5616927214,0.0676387169,0.2797684216
0.5250,0.5607149545,0.0703893279,0.2779847473
0.5260,0.5597365244,0.0731347046,0.2761988650
0.5270,0.5587574304,0.0758748670,0.2744107693
0.5280,0.5577776714,0.0786098347,0.2726204547
