gamma,log_neg_analytic,Q_degradable_analytic_LB_on_K2way
0.5539,0.5321753014,0.0000000000
0.5549,0.5311793131,0.0000000000
0.5559,0.5301826367,0.0000000000
0.5569,0.5291852712,0.0000000000
0.5579,0.5281872158,0.0000000000
0.5589,0.5271884695,0.0000000000
0.5599,0.5261890312,0.0000000000
0.5609,0.5251889002,0.0000000000
0.5619,0.5241880753,0.0000000000
0.5629,0.5231865556,0.0000000000
0.5639,0.5221843402,0.0000000000
0.5649,0.5211814281,0.0000000000
0.5659,0.5201778183,0.0000000000
0.5669,0.5191735099,0.0000000000
0.5679,0.5181685018,0.0000000000
0.5689,0.5171627932,0.0000000000
0.5699,0.5161563830,0.0000000000
0.5709,0.5151492702,0.0000000000
0.5719,0.5141414539,0.0000000000
0.5729,0.5131329331,0.0000000000
0.5739,0.5121237067,0.0000000000
0.5748,0.5111137739,0.0000000000
0.5758,0.5101031336,0.0000000000
0.5768,0.5090917849,0.0000000000
0.5778,0.5080797266,0.0000000000
0.5788,0.5070669579,0.0000000000
0.5798,0.5060534778,0.0000000000
0.5808,0.5050392851,0.0000000000
0.5818,0.5040243791,0.0000000000
0.5828,0.5030087585,0.0000000000
0.5838,0.5019924225,0.0000000000
0.5848,0.5009753700,0.0000000000
0.5858,0.4999576000,0.0000000000
0.5868,0.4989391114,0.0000000000
0.5878,0.4979199034,0.0000000000
0.5888,0.4968999748,0.0000000000
0.5898,0.4958793247,0.0000000000
0.5908,0.4948579520,0.0000000000
0.5918,0.4938358557,0.0000000000
0.5928,0.4928130347,0.0000000000
0.5938,0.4917894881,0.0000000000
0.5948,0.4907652148,0.0000000000
0.5958,0.4897402138,0.0000000000
0.5968,0.4887144840,0.0000000000
0.5978,0.4876880244,0.0000000000
0.5988,0.4866608340,0.0000000000
0.5998,0.4856329117,0.0000000000
0.6008,0.4846042565,0.0000000000
0.6018,0.4835748674,0.0000000000
0.6028,0.4825447432,0.0000000000
0.6038,0.4815138830,0.0000000000
0.6048,0.4804822856,0.0000000000
0.6058,0.4794499501,0.0000000000
0.6068,0.4784168753,0.0000000000
0.6078,0.4773830603,0.0000000000
0.6088,0.4763485039,0.0000000000
0.6098,0.4753132051,0.0000000000
0.6108,0.4742771628,0.0000000000
0.6118,0.4732403760,0.0000000000
0.6128,0.4722028436,0.0000000000
0.6138,0.4711645644,0.0000000000
0.6148,0.4701255375,0.0000000000
0.6158,0.4690857618,0.0000000000
0.6168,0.4680452361,0.0000000000
0.6178,0.4670039594,0.0000000000
0.6188,0.4659619306,0.0000000000
0.6198,0.4649191487,0.0000000000
0.6208,0.4638756124,0.0000000000
0.6218,0.4628313209,0.0000000000
0.6228,0.4617862728,0.0000000000
0.6238,0.4607404672,0.0000000000
0.6248,0.4596939030,0.0000000000
0.6257,0.4586465790,0.0000000000
0.6267,0.4575984941,0.0000000000
0.6277,0.4565496473,0.0000000000
0.6287,0.4555000374,0.0000000000
0.6297,0.4544496633,0.0000000000
0.6307,0.4533985240,0.0000000000
0.6317,0.4523466182,0.0000000000
0.6327,0.4512939449,0.0000000000
0.6337,0.4502405029,0.0000000000
0.6347,0.4491862912,0.0000000000
0.6357,0.4481313085,0.0000000000
0.6367,0.4470755539,0.0000000000
0.6377,0.4460190260,0.0000000000
0.6387,0.4449617239,0.0000000000
0.6397,0.4439036464,0.0000000000
0.6407,0.4428447922,0.0000000000
0.6417,0.4417851604,0.0000000000
0.6427,0.4407247497,0.0000000000
0.6437,0.4396635590,0.0000000000
0.6447,0.4386015872,0.0000000000
0.6457,0.4375388331,0.0000000000
0.6467,0.4364752955,0.0000000000
0.6477,0.4354109734,0.0000000000
