noise_param,dephase_log_neg,dephase_K_D_PLOB,dephase_gap_bits,depol_log_neg,depol_E_R,depol_gap_bits
0.0270,0.9605117101,0.8208836808,0.1396280293,0.9704855729,0.8250625802,0.1454229927
0.0280,0.9590282189,0.8157394067,0.1432888123,0.9693807649,0.8196967523,0.1496840127
0.0290,0.9575432008,0.8106481525,0.1468950482,0.9682751102,0.8143704050,0.1539047052
0.0300,0.9560566524,0.8056081422,0.1504485102,0.9671686075,0.8090822059,0.1580864017
0.0310,0.9545685708,0.8006177179,0.1539508529,0.9660612555,0.8038309109,0.1622303446
0.0320,0.9530789526,0.7956753290,0.1574036236,0.9649530529,0.7986153568,0.1663376961
0.0330,0.9515877948,0.7907795221,0.1608082727,0.9638439984,0.7934344528,0.1704095456
0.0340,0.9500950942,0.7859289319,0.1641661623,0.9627340906,0.7882871745,0.1744469161
0.0350,0.9486008475,0.7811222735,0.1674785740,0.9616233283,0.7831725576,0.1784507706
0.0360,0.9471050516,0.7763583355,0.1707467161,0.9605117101,0.7780896933,0.1824220168
0.0370,0.9456077032,0.7716359742,0.1739717290,0.9593992348,0.7730377230,0.1863615118
0.0380,0.9441087991,0.7669541074,0.1771546917,0.9582859009,0.7680158348,0.1902700662
0.0390,0.9426083361,0.7623117104,0.1802966257,0.9571717072,0.7630232594,0.1941484479
0.0400,0.9411063109,0.7577078109,0.1833985000,0.9560566524,0.7580592671,0.1979973853
0.0410,0.9396027204,0.7531414853,0.1864612350,0.9549407351,0.7531231649,0.2018175702
0.0420,0.9380975611,0.7486118553,0.1894857058,0.9538239539,0.7482142932,0.2056096607
0.0430,0.9365908298,0.7441180844,0.1924727455,0.9527063076,0.7433320244,0.2093742833
0.0440,0.9350825233,0.7396593750,0.1954231483,0.9515877948,0.7384757596,0.2131120352
0.0450,0.9335726383,0.7352349661,0.1983376722,0.9504684142,0.7336449276,0.2168234866
0.0460,0.9320611713,0.7308441303,0.2012170410,0.9493481643,0.7288389823,0.2205091820
0.0470,0.9305481192,0.7264861723,0.2040619470,0.9482270439,0.7240574016,0.2241696423
0.0480,0.9290334786,0.7221604260,0.2068730526,0.9471050516,0.7192996855,0.2278053661
0.0490,0.9275172462,0.7178662535,0.2096509927,0.9459821860,0.7145653550,0.2314168310
0.0500,0.9259994186,0.7136030429,0.2123963757,0.9448584458,0.7098539505,0.2350044953
0.0510,0.9244799924,0.7093702067,0.2151097857,0.9437338296,0.7051650311,0.2385687985
0.0520,0.9229589642,0.7051671806,0.2177917836,0.9426083361,0.7004981729,0.2421101632
0.0530,0.9214363308,0.7009934223,0.2204429085,0.9414819639,0.6958529686,0.2456289953
0.0540,0.9199120887,0.6968484096,0.2230636790,0.9403547115,0.6912290260,0.2491256855
0.0550,0.9183862344,0.6927316401,0.2256545943,0.9392265777,0.6866259678,0.2526006099
0.0560,0.9168587647,0.6886426296,0.2282161351,0.9380975611,0.6820434303,0.2560541308
